random,cyclic,lipschitz,GS,approxGS,GSL,approxGSL
7210936.40978,7210936.40978,7210936.40978,7210936.40978,7210936.40978,7210936.40978,7210936.40978
5989845.708,6215168.97408,6875872.41968,5030831.81317,5030831.81317,5030831.81317,5030831.81317
5794789.07362,6116657.97406,6767772.10249,4556433.49389,4556433.49389,4556433.49389,4556433.49389
5712130.50255,6038404.46993,6459530.18886,3950143.69663,3950143.69663,3950143.69663,3950143.69663
5709706.65801,5984170.72585,6104714.0125,3467227.15017,3467227.15017,3467227.15017,3467227.15017
5709686.909,5978615.17275,6099625.01616,3302472.45798,3236228.29299,3236228.29299,3236228.29299
5671606.78131,5925064.04251,6068765.69083,3075639.20403,2953671.41503,2953671.41503,2953671.41503
5671603.71702,5922381.21632,6050674.6477,2861999.15291,2739875.15253,2739875.15253,2739875.15253
5665592.23287,5920507.38475,5788994.56697,2599943.71027,2517155.6837,2517155.6837,2517155.6837
5663131.14194,5909778.02346,5689072.97296,2495678.14274,2360412.06553,2314982.31132,2314982.31132
5628676.47912,5906376.73566,5163853.48519,2395484.06912,2197998.20705,2122633.23678,2122633.23678
5555567.18615,5906319.27242,5018355.67851,2311806.85826,2064758.92176,1982304.1324,1982304.1324
5463086.24995,5861449.35668,5015279.2323,2188579.68012,1913682.14888,1813327.30842,1813327.30842
5462821.05063,5849390.83944,4808976.24688,1995225.49539,1806984.70094,1690339.37347,1690339.37347
5462812.55947,5849386.74374,4808251.34742,1917890.94109,1690761.51134,1553001.11031,1553001.11031
5405851.38541,5848373.37654,4719629.82733,1708233.49324,1614152.14726,1455520.32765,1455520.32765
5361912.28977,5848073.01549,4400825.28281,1623025.00454,1540770.78431,1369326.16632,1369326.16632
5361697.33007,5836756.08259,4001716.6274,1487827.2232,1477599.54981,1286064.06049,1286064.06049
5361695.40031,5750509.66572,3977807.71781,1345834.59749,1409469.86143,1200172.79221,1200172.79221
5339967.58478,5712890.37514,3970248.62898,1282976.32884,1212846.77821,1120033.4953,1120033.4953
5338885.27286,5693499.78165,3967937.18402,1248698.06088,1114397.95874,1062821.12553,1062821.12553
5332612.70625,5662839.54946,3924191.60988,1176160.87789,1095511.01798,1000774.39388,1000774.39388
5331540.10943,5661324.67401,3916571.25958,1113207.55306,1053837.73906,939627.315283,939627.315283
5323181.23647,5651759.45337,3791030.04375,1066696.37899,1039256.78867,889913.808038,889913.808038
5323155.85828,5650860.6901,3420312.25291,1021937.78279,1021407.66706,841423.924973,841423.924973
5109073.1533,5644937.52793,3386783.90019,985648.62208,1006651.9852,796633.473153,796633.473153
5109073.1533,5642919.12157,3296358.03605,947925.745473,991078.11337,763455.068107,763455.068107
5041999.76316,5642068.81367,3250574.48612,929362.47427,979607.661275,726969.791395,726969.791395
5038217.69701,5641999.19819,3170577.76289,884654.904949,966718.331591,696851.183136,696851.183136
5037942.08129,5641998.85068,3170572.23242,856634.99552,955013.753595,665354.32884,665354.32884
5035362.8543,5641462.50491,3123047.7577,787445.179547,950163.772667,635720.92004,635720.92004
5035222.17393,5618921.23922,3121425.33066,751451.895354,942149.347697,608879.848016,608879.848016
5035131.61825,5596211.63339,3121143.10574,730274.073922,926612.250068,583201.774842,583201.774842
5033676.47773,5516031.53419,3117386.87001,718384.578355,907629.80857,565043.355203,565043.355203
5017506.97409,5474790.31434,3084211.22968,682359.355405,896712.595914,545866.368818,545866.368818
5002916.37426,5417746.50913,3084211.10954,662575.235562,889250.945694,531751.360011,531751.360011
5001908.99434,5396892.46047,3005728.9691,638993.906441,886129.302918,516492.528862,516492.528862
4997417.33982,5186505.84684,2986563.89488,632276.337648,880634.389269,502428.175243,502428.175243
4992087.06399,5176822.84902,2726841.02192,616979.706729,870173.666715,488839.829823,488839.829823
4979159.3263,5173875.79714,2649011.70803,612872.324529,867511.861264,476006.643916,476006.643916
4976216.68009,5110993.79329,2634336.89907,600118.849419,864237.900812,462758.974489,462758.974489
4964891.10093,5110393.43411,2596777.20417,596817.048508,857422.780323,450226.207362,450226.207362
4929919.44355,4938695.02885,2586041.09744,583367.971703,855132.326737,436641.917883,436641.917883
4928036.18067,4907692.23783,2423581.84919,579421.221464,854371.877775,423913.020851,423913.020851
4911058.16822,4870447.84169,2391641.10605,560198.412926,851929.501506,410900.228349,410900.228349
4900910.39673,4869589.2655,2374140.60893,555099.812852,850852.249465,397922.806555,397922.806555
4886498.95903,4862680.02904,2371756.04222,549470.146613,849718.461787,385502.541318,385502.541318
4882112.37826,4857808.38839,2366332.9502,538963.348542,848920.820955,374625.799674,374625.799674
4881850.8583,4853855.70606,2346740.29887,535237.803384,848453.584691,363297.310299,363297.310299
4881437.21048,4776170.25678,2346740.29887,524326.118181,845468.39443,352157.457089,352157.457089
4880306.85455,4732589.44539,2232506.70789,516027.397307,844212.966219,341419.791993,341419.791993
4813767.96448,4594678.97663,2197952.08268,505796.812512,842491.256027,330967.409915,330967.409915
4795150.22343,4134712.48147,2194010.68852,499705.889081,841631.283107,320151.152365,320151.152365
4789765.28628,3976504.04187,2183497.97507,486047.292498,841404.306733,309854.435446,309854.435446
4788563.85777,3961905.20229,2183181.58172,482770.075317,840838.316104,299458.685627,299458.685627
4785663.8228,3960959.50255,2179318.56776,474275.6382,840673.693185,290527.586679,290527.586679
4762980.01722,3959218.63096,2178506.81926,471992.015826,840421.771824,281305.154956,281305.154956
4712678.67861,3949099.79295,2018652.39893,447989.722483,840259.151672,272439.556124,272439.556124
4708594.8303,3947869.34413,1982479.26692,442186.316039,840078.420904,263587.675633,263587.675633
4707343.12597,3835791.28507,1973129.47495,436923.739767,839900.191695,255076.41188,255076.41188
4606468.41799,3834925.01253,1875937.08728,435551.695754,839861.209525,246420.130241,246420.130241
4343777.74656,3777617.94691,1860122.75991,428614.261015,839848.62509,238402.355042,238402.355042
4316825.58897,3729287.99934,1856928.61299,419691.547045,839809.320916,230413.795021,230413.795021
4315739.49177,3728546.20115,1848779.54173,413069.200761,839788.188368,222170.975253,222170.975253
4313133.7293,3728263.41846,1846932.95511,411708.468425,839465.010041,214198.768295,214198.768295
4312025.88438,3724090.56256,1842336.46192,404636.313787,839086.805149,207119.804479,207119.804479
4311940.08148,3714014.36911,1807017.70337,397872.107903,839080.860428,199819.215794,199819.215794
4311527.69145,3712024.77306,1760789.21695,386885.880741,839008.078526,193417.527339,193417.527339
4278366.70096,3479346.89794,1702490.90855,379191.530018,838864.771081,186540.982663,186540.982663
4271165.54689,3448659.12803,1702490.66939,373344.025309,838860.18888,179698.975131,179698.975131
4270926.91719,3177505.9862,1698202.61749,361107.157389,838831.996756,172843.794757,172843.794757
4268365.66419,3158102.48843,1651437.18709,343908.002002,838815.228592,165716.96335,165716.96335
4268197.64794,3138061.04709,1645763.13442,342401.729226,838810.802235,159654.682364,159654.682364
4268194.65036,3134710.08405,1645763.13442,332003.013619,838810.802235,155024.952493,155024.952493
4081286.42864,3131547.47171,1642049.38884,329015.270682,838810.802235,150068.319664,150068.319664
4058015.40198,3118401.23569,1621838.8011,321460.61088,838810.802235,145779.607245,145779.607245
4037480.01908,3118376.39636,1612684.29618,319213.195397,838810.802235,141102.577585,141102.577585
3792735.59728,3062245.40878,1605288.51977,314881.508965,838810.802235,136649.618706,136649.618706
3771740.26356,3020200.66612,1580510.24343,313625.151421,838810.802235,131967.950931,131967.950931
3619881.41055,3018464.32828,1576431.49742,310022.869721,838810.802235,127973.924355,127973.924355
3598429.42425,3009398.89482,1576431.49742,308965.748375,838810.802235,123991.687637,123991.687637
3592257.63166,2893329.34421,1555682.87174,298581.251091,838810.802235,119975.271442,119975.271442
3564738.3159,2862906.11684,1555376.32274,295809.853773,838810.802235,115907.761101,115907.761101
3524463.46206,2861048.09217,1547730.87386,294955.481111,838810.802235,112372.055438,112372.055438
3516299.40371,2801967.90541,1543269.50813,291958.003237,838810.802235,108822.484695,108822.484695
3510562.22119,2760924.18119,1537841.48011,288578.03107,838810.802235,105666.322803,105666.322803
3504488.49294,2637308.64248,1491296.35317,286192.982788,838810.802235,102428.87593,102428.87593
3491866.94242,2633385.88635,1482257.44585,284305.042258,838810.802235,99279.7412305,99279.7412305
3490929.01944,2514024.56071,1481927.15562,279028.005774,838810.802235,96583.6882984,96583.6882984
3490356.29907,2496917.83943,1471494.86832,276289.159283,838810.802235,93552.2203827,93552.2203827
3488412.0174,2473939.30583,1471080.02462,271558.662067,838810.802235,90659.9821301,90659.9821301
3485067.1044,2468604.97451,1468766.7727,269955.736691,838810.802235,88163.6601231,88163.6601231
3481383.40978,2453243.20055,1449323.49207,268395.522868,838810.802235,85485.3586997,85485.3586997
3464098.23644,2447214.2979,1428261.325,263479.240857,838810.802235,82986.5348654,82986.5348654
3438362.71121,2419824.95031,1395201.1584,257838.179654,838810.802235,80322.3242443,80322.3242443
3416325.23818,2419454.37382,1386639.61613,257229.49632,838810.802235,77859.2826471,77859.2826471
3414128.09211,2412799.46027,1376837.4905,253852.9565,838810.802235,75566.601779,75566.601779
3412714.59879,2411878.13337,1376093.79851,252878.235983,838810.802235,73545.5804201,73545.5804201
3401711.88114,2411634.63694,1375819.71014,248234.425437,838810.802235,71504.8310789,71504.8310789
3397405.64935,2406712.58789,1308359.08482,246946.14577,838810.802235,69831.8983649,69831.8983649
3396683.48824,2335538.6072,1307688.98025,245734.373759,838810.802235,68186.0189164,68186.0189164
